extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e00131,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,btw_pens_and_creek,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00132,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,btw_pens_and_creek,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00133,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,btw_pens_and_creek,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00134,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00135,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00136,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00137,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00138,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00139,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00140,,water,2021,5,10,Amalga_Harbor,160m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00141,,water,2021,5,10,Amalga_Harbor,160m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00142,,water,2021,5,10,Amalga_Harbor,160m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00143,,water,2021,5,10,Amalga_Harbor,240m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00144,,water,2021,5,10,Amalga_Harbor,240m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00145,,water,2021,5,10,Amalga_Harbor,240m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00146,,water,2021,5,10,Amalga_Harbor,320m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00147,,water,2021,5,10,Amalga_Harbor,320m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00148,,water,2021,5,10,Amalga_Harbor,320m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00149,,water,2021,5,10,Amalga_Harbor,400m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00150,,water,2021,5,10,Amalga_Harbor,400m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00151,,water,2021,5,10,Amalga_Harbor,400m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00152,,water,2021,5,10,Amalga_Harbor,480m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00153,,water,2021,5,10,Amalga_Harbor,480m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00154,,water,2021,5,10,Amalga_Harbor,480m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00155,,water,2021,5,10,Amalga_Harbor,560m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00156,,water,2021,5,10,Amalga_Harbor,560m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00157,,water,2021,5,10,Amalga_Harbor,560m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00158,,water,2021,5,10,Amalga_Harbor,640m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00159,,water,2021,5,10,Amalga_Harbor,640m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00160,,water,2021,5,10,Amalga_Harbor,640m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00161,,water,2021,5,10,Amalga_Harbor,720m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00162,,water,2021,5,10,Amalga_Harbor,720m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00163,,water,2021,5,10,Amalga_Harbor,720m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00164,,water,2021,5,10,Amalga_Harbor,800m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00165,,water,2021,5,10,Amalga_Harbor,800m,,,,sample,,PM,Amalga,KCK,MP,2021_07_26,vial,,,,,
e00166,,water,2021,5,10,Amalga_Harbor,800m,,,,sample,,PM,Amalga,KK,MP,2021_07_26,vial,,,,,
e00167,,water,2021,5,10,Amalga_Harbor,880m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00168,,water,2021,5,10,Amalga_Harbor,880m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00169,,water,2021,5,10,Amalga_Harbor,880m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00170,,water,2021,5,10,Amalga_Harbor,960m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00171,,water,2021,5,10,Amalga_Harbor,960m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00172,,water,2021,5,10,Amalga_Harbor,960m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00173,,water,2021,5,10,Amalga_Harbor,1040m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00174,,water,2021,5,10,Amalga_Harbor,1040m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00175,,water,2021,5,10,Amalga_Harbor,1040m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00176,,water,2021,5,10,Amalga_Harbor,2000m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00177,,water,2021,5,10,Amalga_Harbor,2000m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00178,,water,2021,5,10,Amalga_Harbor,2000m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00179,,water,2021,5,10,Amalga_Harbor,1920m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00180,,water,2021,5,10,Amalga_Harbor,1920m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00181,,water,2021,5,10,Amalga_Harbor,1920m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00182,,water,2021,5,10,Amalga_Harbor,1840m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00183,,water,2021,5,10,Amalga_Harbor,1840m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00184,,water,2021,5,10,Amalga_Harbor,1840m,,,,sample,,PM,Amalga,PRB,MP,2021_07_26,vial,,,,,
e00185,,water,2021,5,10,Amalga_Harbor,1760m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
e00186,,water,2021,5,10,Amalga_Harbor,1760m,,,,sample,,PM,Amalga,DSB,MP,2021_07_26,vial,,,,,
